,Unknown,St. Croix,St. John,St. Thomas
2020-11-23,,7,1,15
2020-11-24,,7,1,15
2020-11-25,,7,1,15
2020-11-26,,7,1,15
2020-11-27,,7,1,15
2020-11-28,,7,1,15
2020-11-29,,7,1,15
2020-11-30,,7,1,15
2020-12-01,,7,1,15
2020-12-02,,7,1,15
2020-12-03,,7,1,15
2020-12-04,,7,1,15
2020-12-05,,7,1,15
2020-12-06,,7,1,15
2020-12-07,,7,1,15
2020-12-08,,7,1,15
2020-12-09,,7,1,15
2020-12-10,,7,1,15
2020-12-11,,7,1,15
2020-12-12,,7,1,15
2020-12-13,,7,1,15
2020-12-14,,7,1,15
2020-12-15,,7,1,15
2020-12-16,,7,1,15
2020-12-17,,7,1,15
2020-12-18,,7,1,15
2020-12-19,,7,1,15
2020-12-20,,7,1,15
2020-12-21,,7,1,15
2020-12-22,,7,1,15
2020-12-23,,7,1,15
2020-12-24,,7,1,15
2020-12-25,,7,1,15
2020-12-26,,7,1,15
2020-12-27,,7,1,15
2020-12-28,,7,1,15
2020-12-29,,7,1,15
2020-12-30,,7,1,15
2020-12-31,,7,1,15
2021-01-01,,7,1,15
2021-01-02,,7,1,15
2021-01-03,,7,1,15
2021-01-04,,7,1,15
2021-01-05,,7,1,15
2021-01-06,,7,1,15
2021-01-07,,7,1,15
2021-01-08,,7,1,15
2021-01-09,,7,1,15
2021-01-10,,7,1,15
2021-01-11,,7,1,15
2021-01-12,,8,1,15
2021-01-13,,8,1,15
2021-01-14,,8,1,15
2021-01-15,,8,1,15
2021-01-16,,8,1,15
2021-01-17,,8,1,15
2021-01-18,,8,1,15
2021-01-19,,8,1,15
2021-01-20,,8,1,15
2021-01-21,,8,1,15
2021-01-22,,8,1,15
2021-01-23,,8,1,15
2021-01-24,,8,1,15
2021-01-25,,8,1,15
2021-01-26,,8,1,15
2021-01-27,,8,1,15
2021-01-28,,8,1,15
2021-01-29,,8,1,15
2021-01-30,,8,1,15
2021-01-31,,8,1,15
2021-02-01,,8,1,15
2021-02-02,,8,1,15
2021-02-03,,8,1,15
2021-02-04,,8,1,15
2021-02-05,,8,1,15
2021-02-06,,8,1,15
2021-02-07,,8,1,15
2021-02-08,,8,1,15
2021-02-09,,8,1,15
2021-02-10,,8,1,15
2021-02-11,,9,1,15
2021-02-12,,9,1,15
2021-02-13,,9,1,15
2021-02-14,,9,1,15
2021-02-15,,9,1,15
2021-02-16,,9,1,15
2021-02-17,,9,1,15
2021-02-18,,9,1,15
2021-02-19,,9,1,15
2021-02-20,,9,1,15
2021-02-21,,9,1,15
2021-02-22,,9,1,15
2021-02-23,,9,1,15
2021-02-24,,9,1,15
2021-02-25,,9,1,15
2021-02-26,,9,1,15
2021-02-27,,9,1,15
2021-02-28,,9,1,15
2021-03-01,,9,1,15
2021-03-02,,9,1,15
2021-03-03,,9,1,15
2021-03-04,,9,1,15
2021-03-05,,9,1,15
2021-03-06,,9,1,15
2021-03-07,,9,1,15
2021-03-08,,9,1,15
2021-03-09,,9,1,15
2021-03-10,,9,1,15
2021-03-11,,9,1,15
2021-03-12,,9,1,15
2021-03-13,,9,1,15
2021-03-14,,9,1,15
2021-03-15,,9,1,15
2021-03-16,,9,1,15
2021-03-17,,9,1,15
2021-03-18,,9,1,15
2021-03-19,,9,1,15
2021-03-20,,9,1,15
2021-03-21,,9,1,15
2021-03-22,,9,1,15
2021-03-23,,9,1,15
2021-03-24,,9,1,15
2021-03-25,,9,1,15
2021-03-26,1,9,1,15
2021-03-27,,10,1,15
2021-03-28,,10,1,15
2021-03-29,,10,1,15
2021-03-30,,10,1,15
2021-03-31,,10,1,15
2021-04-01,,10,1,15
2021-04-02,,10,1,15
2021-04-03,,10,1,15
2021-04-04,,10,1,15
2021-04-05,0,10,1,15
2021-04-06,0,10,1,15
2021-04-07,0,10,1,15
2021-04-08,,10,1,15
2021-04-09,,10,1,15
2021-04-10,,10,1,15
2021-04-11,,10,1,15
2021-04-12,,10,1,15
2021-04-13,,10,1,15
2021-04-14,,10,1,15
2021-04-15,,10,1,15
2021-04-16,,10,1,15
2021-04-17,,10,1,15
2021-04-18,,10,1,15
2021-04-19,,10,1,16
2021-04-20,,10,1,16
2021-04-21,,10,1,16
2021-04-22,,10,1,16
2021-04-23,,10,1,16
2021-04-24,,10,1,16
2021-04-25,,10,1,16
2021-04-26,,10,1,16
2021-04-27,,10,1,16
2021-04-28,,10,1,16
2021-04-29,,10,1,16
2021-04-30,,10,1,16
2021-05-01,,10,1,16
2021-05-02,,10,1,16
2021-05-03,,10,1,16
2021-05-04,,10,1,16
2021-05-05,,10,1,16
2021-05-06,,10,1,16
2021-05-07,,10,1,16
2021-05-08,,10,1,16
2021-05-09,,10,1,16
2021-05-10,,10,1,16
2021-05-11,,10,1,16
2021-05-12,,10,1,16
2021-05-13,,10,1,16
2021-05-14,,10,1,16
2021-05-15,,10,1,16
2021-05-16,,10,1,16
2021-05-17,,10,1,16
2021-05-18,,10,1,16
2021-05-19,,10,1,16
2021-05-20,,10,1,16
2021-05-21,,10,1,16
2021-05-22,,10,1,16
2021-05-23,,10,1,16
2021-05-24,,10,1,16
2021-05-25,,10,1,16
2021-05-26,,10,1,16
2021-05-27,,10,1,16
2021-05-28,,10,1,16
2021-05-29,,10,1,16
2021-05-30,,10,1,16
2021-05-31,,10,1,16
2021-06-01,,10,1,16
2021-06-02,,10,1,17
2021-06-03,,10,1,17
2021-06-04,,10,1,17
2021-06-05,,10,1,17
2021-06-06,,10,1,17
2021-06-07,,10,1,17
2021-06-08,,10,1,17
2021-06-09,,10,1,17
2021-06-10,,10,1,17
2021-06-11,,10,1,17
2021-06-12,,10,1,17
2021-06-13,,10,1,17
2021-06-14,,10,1,17
2021-06-15,1,10,1,17
2021-06-16,,10,1,19
2021-06-17,,10,1,19
2021-06-18,,10,1,19
2021-06-19,,10,1,19
2021-06-20,,10,1,19
2021-06-21,,10,1,19
2021-06-22,,10,1,19
2021-06-23,,10,1,19
2021-06-24,,10,1,19
2021-06-25,,10,1,19
2021-06-26,,10,1,19
2021-06-27,,10,1,19
2021-06-28,,10,1,19
2021-06-29,,10,1,19
2021-06-30,,10,1,19
2021-07-01,,10,1,19
2021-07-02,,10,1,19
2021-07-03,,10,1,19
2021-07-04,,10,1,19
2021-07-05,,10,1,19
2021-07-06,,10,1,19
2021-07-07,,11,1,20
2021-07-08,,11,1,20
2021-07-09,,11,1,20
2021-07-10,,11,1,20
2021-07-11,,11,1,20
2021-07-12,,11,1,20
2021-07-13,,11,1,20
2021-07-14,,11,1,20
2021-07-15,,11,1,20
2021-07-16,,11,1,20
2021-07-17,,11,1,20
2021-07-18,,11,1,20
2021-07-19,,11,1,20
2021-07-20,,11,1,20
2021-07-21,,11,1,20
2021-07-22,,12,1,22
2021-07-23,,12,1,22
2021-07-24,,12,1,22
2021-07-25,,12,1,22
2021-07-26,,12,1,22
2021-07-27,,12,1,22
2021-07-28,,12,1,22
2021-07-29,,13,1,22
2021-07-30,,13,1,22
2021-07-31,,13,1,22
2021-08-01,,13,1,22
2021-08-02,,14,1,22
2021-08-03,2,14,1,22
2021-08-04,2,14,1,22
2021-08-05,,16,1,23
2021-08-06,,16,1,23
2021-08-07,,16,1,23
2021-08-08,,16,1,23
2021-08-09,,16,1,23
