,Grafton,Rockingham,Hillsborough,Carroll,Belknap,Merrimack,Cheshire,Strafford,Sullivan,Coos,Unknown
2020-05-13,1,57,66,0,0,12,2,11,1,0,0
2020-05-14,1,57,67,0,0,12,2,11,1,0,0
2020-05-15,1,59,73,0,0,12,2,11,1,0,0
2020-05-16,1,60,83,0,0,12,2,12,1,0,0
2020-05-17,1,60,84,0,0,12,2,12,1,0,0
2020-05-18,1,60,84,0,0,12,2,12,1,0,0
2020-05-19,1,63,91,0,0,12,2,12,1,0,0
2020-05-20,1,65,96,0,0,12,2,13,1,0,0
2020-05-21,1,66,104,0,0,12,2,13,1,0,0
2020-05-22,1,67,107,0,0,13,2,13,1,0,0
2020-05-23,1,67,111,0,0,13,2,13,1,0,0
2020-05-24,1,67,112,0,0,13,2,13,1,0,0
2020-05-25,1,67,113,0,0,13,2,13,1,0,0
2020-05-26,1,67,117,0,0,13,2,13,1,0,0
2020-05-27,1,69,124,0,0,13,2,13,1,0,0
2020-05-28,1,70,132,0,0,13,2,13,1,0,0
2020-05-29,1,70,138,0,0,13,2,13,1,0,0
2020-05-30,1,73,138,0,0,14,2,13,1,0,0
2020-05-31,1,75,139,0,0,14,2,13,1,0,0
2020-06-01,1,75,139,0,0,14,2,13,1,0,0
2020-06-02,1,76,148,0,0,15,2,13,1,0,0
2020-06-03,1,76,155,0,0,17,2,13,1,0,0
2020-06-04,1,76,162,0,0,18,2,13,1,0,0
2020-06-05,1,76,167,0,0,18,2,13,1,0,0
2020-06-06,1,76,172,0,0,18,2,13,1,0,0
2020-06-07,1,76,175,0,0,18,2,13,1,0,0
2020-06-08,1,76,175,0,0,18,2,13,1,0,0
2020-06-09,1,78,181,0,0,18,2,13,1,0,0
2020-06-10,1,79,187,0,0,18,2,13,1,0,0
2020-06-11,1,79,194,0,0,18,2,13,1,0,0
2020-06-12,1,79,200,0,1,18,2,13,1,0,0
2020-06-13,1,79,203,0,1,18,2,13,1,0,0
2020-06-14,1,79,205,0,1,18,2,13,1,0,0
2020-06-15,1,79,205,0,1,18,2,13,1,0,0
2020-06-16,1,81,209,0,1,18,2,13,1,0,0
2020-06-17,1,81,213,0,1,18,2,13,1,0,0
2020-06-18,1,81,214,0,1,18,2,13,1,0,0
2020-06-19,1,83,218,0,1,18,2,13,1,0,0
2020-06-20,1,83,220,0,1,18,2,13,1,0,0
2020-06-21,1,83,220,0,1,18,2,13,1,0,0
2020-06-22,1,83,220,0,1,18,2,13,1,0,0
2020-06-23,1,83,224,0,1,18,2,13,1,0,0
2020-06-24,1,85,226,0,1,18,2,13,1,0,0
2020-06-25,1,87,234,0,1,18,2,13,1,0,0
2020-06-26,1,88,241,0,1,18,2,13,1,0,0
2020-06-27,1,89,242,0,1,18,2,13,1,0,0
2020-06-28,1,89,242,0,1,18,2,13,1,0,0
2020-06-29,1,89,242,0,1,18,2,13,1,0,0
2020-06-30,1,89,246,0,1,18,2,13,1,0,0
2020-07-01,1,89,248,0,1,18,2,13,1,0,0
2020-07-02,1,89,250,0,1,18,2,13,1,0,0
2020-07-03,1,89,251,0,1,18,2,13,1,0,0
2020-07-04,1,90,253,0,2,18,2,13,1,0,0
2020-07-05,1,91,253,0,2,18,2,13,1,0,0
2020-07-06,1,92,253,0,2,18,2,13,1,0,0
2020-07-07,1,92,254,0,2,19,2,13,1,0,0
2020-07-08,1,92,256,0,2,19,2,13,1,0,0
2020-07-09,1,92,257,0,2,19,2,13,1,0,0
2020-07-10,1,92,259,0,3,19,2,13,1,0,0
2020-07-11,1,92,260,0,3,19,2,13,1,0,0
2020-07-12,1,92,260,0,3,19,2,13,1,0,0
2020-07-13,1,92,260,0,3,19,2,13,1,0,0
2020-07-14,1,92,261,0,3,19,2,13,1,0,
2020-07-15,1,92,263,0,3,19,2,13,1,0,
2020-07-16,1,92,263,0,3,20,2,13,1,0,
2020-07-17,1,92,263,0,3,20,2,13,1,0,
2020-07-18,1,92,264,0,3,20,2,13,1,0,
2020-07-19,1,92,265,0,4,20,2,13,1,0,
2020-07-20,1,92,265,0,4,20,2,13,1,0,
2020-07-21,1,92,267,0,4,20,2,13,1,0,
2020-07-22,1,93,267,1,4,20,2,13,1,0,
2020-07-23,1,93,270,1,4,20,2,13,1,0,
2020-07-24,1,94,271,1,4,20,2,13,1,0,
2020-07-25,1,94,272,1,4,21,2,13,1,0,
2020-07-26,1,94,272,1,4,21,2,13,1,0,
2020-07-27,1,94,272,1,4,21,2,13,1,0,
2020-07-28,1,94,272,1,4,21,2,13,1,0,
2020-07-29,1,94,274,1,4,21,2,13,1,0,
2020-07-30,1,95,277,1,4,21,2,13,1,0,0
2020-07-31,1,95,277,1,4,21,2,13,1,0,0
2020-08-01,1,95,278,1,4,21,2,13,1,0,
2020-08-02,1,95,279,1,4,21,2,13,1,0,
2020-08-03,1,95,279,1,4,21,2,13,1,0,0
2020-08-04,1,95,279,1,4,21,3,13,1,0,0
2020-08-05,1,95,279,1,4,21,3,13,1,0,0
2020-08-06,1,96,279,1,4,21,3,13,1,0,0
2020-08-07,1,96,279,1,4,21,3,13,1,0,0
2020-08-08,1,96,279,1,4,21,3,13,1,0,0
2020-08-09,1,96,279,1,4,21,3,13,1,0,0
2020-08-10,1,96,279,1,4,21,3,13,1,0,
2020-08-11,1,96,279,1,4,21,3,13,1,0,
2020-08-12,1,96,280,1,4,21,3,13,1,0,0
2020-08-13,1,96,280,1,4,23,3,13,1,0,
2020-08-14,1,96,281,1,4,23,3,13,1,0,
2020-08-15,1,96,281,1,4,23,3,13,1,0,
2020-08-16,1,96,281,1,4,23,3,13,1,0,
2020-08-17,1,96,281,1,4,23,3,13,1,0,
2020-08-18,1,97,281,1,4,23,3,13,1,0,
2020-08-19,1,99,282,1,4,23,3,13,1,0,
2020-08-20,1,99,283,1,4,23,3,13,1,0,0
2020-08-21,1,99,283,1,4,23,3,13,1,0,0
2020-08-22,1,99,284,1,4,23,3,13,1,0,
2020-08-23,1,99,284,1,4,23,3,13,1,0,0
2020-08-24,1,99,284,1,4,23,3,13,1,0,
2020-08-25,1,99,284,1,4,23,3,13,1,0,
2020-08-26,1,99,285,1,4,23,3,13,1,0,
2020-08-27,1,100,285,1,4,23,3,13,1,0,0
2020-08-28,1,100,286,1,4,23,3,13,1,0,0
2020-08-29,1,100,286,1,4,23,3,13,1,0,0
2020-08-30,1,100,286,1,4,23,3,13,1,0,0
2020-08-31,1,100,286,1,4,23,3,13,1,0,0
2020-09-01,1,100,286,1,4,23,3,13,1,0,0
2020-09-02,1,100,286,1,4,23,3,13,1,0,0
2020-09-03,1,100,286,1,4,23,3,13,1,0,0
2020-09-04,1,100,286,1,4,23,3,13,1,0,0
2020-09-05,1,100,286,1,4,23,3,13,1,0,0
2020-09-06,1,100,287,1,4,23,3,13,1,0,0
2020-09-07,1,100,287,1,4,23,3,13,1,0,0
2020-09-08,1,100,287,1,4,23,3,13,1,0,0
2020-09-09,1,100,287,1,4,23,3,13,1,0,0
2020-09-10,1,100,288,1,4,23,3,13,1,0,0
2020-09-11,1,100,288,1,4,23,3,13,1,0,0
2020-09-12,1,101,288,1,4,23,3,13,1,0,0
2020-09-13,1,101,288,2,4,23,3,13,1,0,0
2020-09-14,1,101,288,2,4,23,3,13,1,0,0
2020-09-15,1,103,288,2,4,23,3,13,1,0,0
2020-09-16,1,103,288,2,4,23,3,13,1,0,
2020-09-17,1,103,288,2,4,23,3,13,1,0,0
2020-09-18,1,103,288,2,4,23,3,13,1,0,0
2020-09-19,1,103,288,2,4,23,3,13,1,0,0
2020-09-20,1,103,288,2,4,23,3,13,1,0,0
2020-09-21,1,103,288,2,4,23,3,13,1,0,0
2020-09-22,1,103,288,2,4,23,3,13,1,0,0
2020-09-23,1,103,288,2,4,23,3,13,1,0,0
2020-09-24,1,103,288,2,4,23,3,13,1,0,0
2020-09-25,1,103,288,2,4,23,3,13,1,0,0
2020-09-26,1,103,289,2,4,23,3,13,1,0,0
2020-09-27,1,103,289,2,4,23,3,13,1,0,0
2020-09-28,1,103,289,2,4,23,3,13,1,0,0
2020-09-29,1,103,289,2,4,23,3,13,1,0,0
2020-09-30,1,103,289,2,4,23,3,13,1,0,0
2020-10-01,1,103,291,2,4,23,3,13,1,0,0
2020-10-02,1,104,291,2,4,23,3,13,1,0,0
