,Gallatin,Lewis and Clark,Silver Bow,Yellowstone,Missoula,Broadwater,Flathead,Madison,Roosevelt,Cascade,Ravalli,Jefferson,Hill,Lincoln,Meagher,Toole,Lake,Park,Deer Lodge,Liberty,Musselshell,Unknown,Carbon,Glacier,Beaverhead,Richland,Stillwater,Big Horn,Golden Valley,Pondera,Wheatland,Rosebud,Custer,Fergus,Valley,Dawson,Treasure,Granite,Teton,Sheridan,Fallon,Garfield,Sanders,Wibaux,Sweet Grass,Blaine,McCone,Chouteau,Judith Basin,Powder River,Daniels,Powell,Prairie,Phillips,Mineral,Carter,Petroleum
2020-04-02,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-18,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,0,0,0,1,1,0,1,1,0,2,0,0,0,1,0,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,0,0,0,1,1,0,1,1,0,2,0,0,0,1,0,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,0,0,0,1,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,0,0,0,1,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,0,0,0,1,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-25,0,0,0,1,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-26,0,0,0,1,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,0,0,0,1,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,1,0,0,1,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-02,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-03,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-09,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-10,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-12,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-14,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-17,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-18,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-19,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-20,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-21,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-22,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-23,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-24,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-25,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-29,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-30,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-31,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-06,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-07,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-09,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-10,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-11,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-12,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-13,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-14,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-15,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-16,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-20,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2020-06-21,1,0,0,3,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2020-06-22,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2020-06-23,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2020-06-24,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2020-06-25,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-06-26,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-06-27,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-06-28,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-06-29,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-06-30,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-07-01,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-07-02,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2020-07-03,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-07-04,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-07-05,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-07-06,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-07-07,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-07-08,1,0,0,4,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-07-09,1,0,0,6,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-07-10,1,0,0,9,1,0,2,1,0,2,0,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-07-11,1,0,0,9,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2020-07-12,1,0,0,9,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2020-07-13,1,0,0,11,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2020-07-14,1,0,0,13,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2020-07-15,1,0,0,13,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2020-07-16,1,0,0,14,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2020-07-17,1,1,0,15,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2020-07-18,1,1,0,15,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2020-07-19,1,1,0,15,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2020-07-20,1,1,0,17,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2020-07-21,1,1,0,18,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2020-07-22,1,1,0,19,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,
2020-07-23,1,1,0,20,1,0,2,1,0,2,1,0,0,1,0,6,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,
2020-07-24,1,1,0,21,1,0,2,1,0,2,1,0,0,1,0,6,1,0,0,0,0,,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,
2020-07-25,1,1,0,21,1,0,2,1,0,2,1,0,0,1,0,6,1,0,0,0,0,,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
2020-07-26,1,1,0,21,1,0,2,1,0,2,1,0,0,1,0,6,1,0,0,0,0,,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
2020-07-27,1,1,0,22,1,0,2,1,0,2,1,0,0,1,0,6,1,0,0,0,0,,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
2020-07-28,2,1,0,23,1,0,2,1,0,2,1,0,0,2,0,6,1,0,0,0,0,,0,1,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
2020-07-29,2,1,0,25,1,0,2,1,0,2,1,0,0,2,0,6,1,0,0,0,0,,0,1,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
2020-07-30,2,1,0,25,1,0,2,1,0,2,1,0,0,2,0,6,1,0,0,0,0,,0,1,0,0,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
2020-07-31,2,1,0,26,1,0,2,1,0,2,1,0,0,2,0,6,1,0,0,0,0,,0,1,0,1,0,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
