,Honolulu,Kauai,Maui,Hawaii,Unknown,Kalawao
2020-09-30,111,0,9,15,,
2020-10-01,114,0,9,15,,
2020-10-02,117,0,9,15,,
2020-10-03,128,0,9,15,,
2020-10-04,128,0,12,15,,
2020-10-05,129,0,12,15,,
2020-10-06,132,0,12,15,,
2020-10-07,135,0,12,15,,
2020-10-08,136,0,12,15,,
2020-10-09,138,0,12,15,,
2020-10-10,140,0,12,15,,
2020-10-11,141,0,12,15,,
2020-10-12,141,0,12,15,,
2020-10-13,144,0,13,15,,
2020-10-14,146,0,18,18,,
2020-10-15,147,0,18,18,,
2020-10-16,148,0,18,18,,
2020-10-17,149,0,18,18,,
2020-10-18,150,0,18,18,,
2020-10-19,150,0,18,18,,
2020-10-20,152,0,18,18,,
2020-10-21,156,0,18,28,,
2020-10-22,159,0,18,28,,
2020-10-23,162,0,18,28,,
2020-10-24,165,0,18,28,,
2020-10-25,165,0,18,28,,
2020-10-26,165,0,18,28,,
2020-10-27,166,0,18,30,,
2020-10-28,166,0,16,30,,
2020-10-29,168,0,16,30,,
2020-10-30,168,0,16,31,,
2020-10-31,170,0,17,31,,
2020-11-01,170,0,17,31,,
2020-11-02,170,0,17,31,,
2020-11-03,170,0,17,31,,
2020-11-04,170,0,17,31,,
2020-11-05,170,0,17,31,,
2020-11-06,170,0,17,31,,
2020-11-07,171,0,17,31,,
2020-11-08,172,0,17,31,,
2020-11-09,172,0,17,31,,
2020-11-10,173,0,17,31,,
2020-11-11,173,0,17,31,,
2020-11-12,173,0,17,31,,
2020-11-13,173,0,17,31,,
2020-11-14,173,0,17,31,,
2020-11-15,173,0,17,31,,
2020-11-16,173,0,17,31,,
2020-11-17,173,0,17,31,,
2020-11-18,173,0,17,32,,
2020-11-19,173,0,17,32,,
2020-11-20,173,0,17,32,,
2020-11-21,180,0,17,32,,
2020-11-22,182,0,17,32,,
2020-11-23,182,0,17,32,,
2020-11-24,182,0,17,32,,
2020-11-25,183,1,17,32,,
2020-11-26,185,1,17,32,,
2020-11-27,188,1,17,32,,
2020-11-28,188,1,17,32,,
2020-11-29,190,1,17,34,,
2020-11-30,190,1,17,34,,
2020-12-01,190,1,17,34,,
2020-12-02,190,1,17,34,,
2020-12-03,192,1,17,34,,
2020-12-04,195,1,17,41,,
2020-12-05,198,1,17,43,,
2020-12-06,199,1,17,43,,
2020-12-07,199,1,17,43,,
2020-12-08,199,1,17,43,,
2020-12-09,203,1,17,43,,
2020-12-10,205,1,17,43,,0
2020-12-11,206,1,17,43,,0
2020-12-12,208,1,17,43,,0
2020-12-13,211,1,17,43,,0
2020-12-14,211,1,17,43,,0
2020-12-15,211,1,17,43,,0
2020-12-16,215,1,17,43,,0
2020-12-17,216,1,17,44,,0
2020-12-18,217,1,17,44,,0
2020-12-19,217,1,17,44,,0
2020-12-20,218,1,17,44,,0
2020-12-21,218,1,17,44,,0
2020-12-22,218,1,17,44,,0
2020-12-23,221,1,17,44,,0
2020-12-24,221,1,17,44,,0
2020-12-25,221,1,17,44,,0
2020-12-26,221,1,17,44,,0
2020-12-27,221,1,17,44,,0
2020-12-28,221,1,17,44,,0
2020-12-29,221,1,17,44,,0
2020-12-30,221,1,17,44,,0
2020-12-31,223,1,17,45,,0
2021-01-01,224,1,17,45,,0
2021-01-02,224,1,17,45,,0
2021-01-03,224,1,17,45,,0
2021-01-04,224,1,17,45,,0
2021-01-05,224,1,17,45,,0
2021-01-06,233,1,18,45,,0
2021-01-07,233,1,18,45,,0
2021-01-08,237,1,18,45,,0
2021-01-09,241,1,18,45,,0
2021-01-10,242,1,18,45,,0
2021-01-11,242,1,18,45,,0
2021-01-12,242,1,18,45,,0
2021-01-13,244,1,19,45,,0
2021-01-14,249,1,20,45,,0
2021-01-15,249,1,20,45,,0
2021-01-16,251,1,20,45,,0
2021-01-17,253,1,20,45,,0
2021-01-18,253,1,20,45,,0
2021-01-19,255,1,20,45,,0
2021-01-20,255,1,21,45,,0
2021-01-21,258,1,21,45,,0
2021-01-22,262,1,21,45,,0
2021-01-23,266,1,21,45,,0
2021-01-24,271,1,21,46,,0
2021-01-25,271,1,21,46,,0
2021-01-26,320,1,24,53,,0
2021-01-27,322,1,25,53,,0
2021-01-28,324,1,25,53,,0
2021-01-29,325,1,25,53,,0
2021-01-30,325,1,25,53,,0
2021-01-31,327,1,26,53,,0
2021-02-01,327,1,26,53,,0
2021-02-02,327,1,26,53,,0
2021-02-03,331,1,26,53,,0
2021-02-04,333,1,26,53,,0
2021-02-05,333,1,26,53,,0
2021-02-06,333,1,26,53,,0
2021-02-07,335,1,26,53,,0
2021-02-08,335,1,26,53,,0
2021-02-09,335,1,26,53,,0
2021-02-10,337,1,29,53,,0
2021-02-11,338,1,29,53,,0
2021-02-12,339,1,29,53,,0
2021-02-13,339,1,29,53,,0
2021-02-14,340,1,29,53,,0
2021-02-15,340,1,29,53,,0
2021-02-16,340,1,29,53,,0
2021-02-17,341,1,29,53,,0
2021-02-18,342,1,29,53,,0
2021-02-19,343,1,30,53,,0
2021-02-20,343,1,30,53,,0
2021-02-21,344,1,30,53,,0
2021-02-22,344,1,30,53,,0
2021-02-23,344,1,30,53,,0
2021-02-24,346,1,32,53,,0
2021-02-25,346,1,32,53,,0
2021-02-26,347,1,33,53,,0
2021-02-27,349,1,33,53,,0
2021-02-28,349,1,33,53,,0
2021-03-01,349,1,33,53,,0
2021-03-02,349,1,33,53,,0
2021-03-03,351,1,33,53,,0
2021-03-04,351,1,33,53,,0
2021-03-05,353,1,33,53,,0
2021-03-06,353,1,34,53,,0
2021-03-07,353,1,35,53,,0
2021-03-08,353,1,35,53,,0
2021-03-09,353,1,35,53,,0
2021-03-10,356,1,35,53,,0
2021-03-11,356,1,35,53,,0
2021-03-12,357,1,35,53,,0
2021-03-13,358,1,35,53,,0
2021-03-14,359,1,35,53,,0
2021-03-15,359,1,35,53,,0
2021-03-16,359,1,35,53,,0
2021-03-17,359,1,35,53,,0
2021-03-18,359,1,35,53,,0
2021-03-19,359,1,36,53,,0
2021-03-20,360,1,36,53,,0
2021-03-21,361,1,36,53,,0
2021-03-22,361,1,36,53,,0
2021-03-23,361,1,36,53,,0
2021-03-24,363,1,37,53,,0
2021-03-25,364,1,37,53,,0
2021-03-26,364,1,38,53,,0
2021-03-27,365,1,40,53,,0
2021-03-28,365,1,40,53,,0
2021-03-29,365,1,40,53,,0
2021-03-30,365,1,40,53,,0
2021-03-31,366,1,40,53,,0
2021-04-01,366,1,40,53,,0
2021-04-02,366,1,40,53,,0
2021-04-03,369,1,41,53,,0
2021-04-04,369,1,41,53,,0
2021-04-05,369,1,41,53,,0
2021-04-06,369,1,41,53,,0
2021-04-07,369,1,41,53,,0
2021-04-08,370,1,43,53,,0
2021-04-09,370,1,43,53,,0
2021-04-10,370,1,44,53,,0
2021-04-11,370,1,44,53,,0
2021-04-12,370,1,44,53,,0
2021-04-13,370,1,44,53,,0
2021-04-14,370,1,46,53,,0
2021-04-15,370,1,46,53,,0
2021-04-16,370,1,47,53,,0
2021-04-17,370,1,47,53,,0
2021-04-18,370,1,47,53,,0
2021-04-19,370,1,47,53,,0
2021-04-20,370,1,47,53,,0
2021-04-21,370,1,47,53,,0
2021-04-22,371,1,48,53,,0
2021-04-23,371,1,49,53,,0
2021-04-24,372,1,49,53,,0
2021-04-25,372,1,49,53,,0
2021-04-26,372,1,49,53,,0
2021-04-27,373,1,49,53,,0
2021-04-28,374,1,51,53,,0
2021-04-29,374,2,51,53,,0
2021-04-30,374,2,51,53,,0
2021-05-01,374,2,51,53,,0
2021-05-02,374,2,51,53,,0
2021-05-03,374,2,52,53,,0
2021-05-04,374,2,52,53,,0
2021-05-05,375,2,52,53,,0
2021-05-06,376,2,52,53,,0
2021-05-07,376,2,52,53,,0
2021-05-08,377,2,52,53,,0
2021-05-09,377,2,53,53,,0
2021-05-10,377,2,53,53,,0
2021-05-11,377,2,53,53,,0
2021-05-12,378,2,53,53,,0
2021-05-13,378,2,53,53,,0
2021-05-14,378,2,54,53,,0
2021-05-15,379,2,54,53,,0
2021-05-16,380,2,54,53,,0
2021-05-17,380,2,54,53,,0
2021-05-18,380,2,54,53,,0
2021-05-19,380,2,54,53,,0
2021-05-20,380,2,54,53,,0
2021-05-21,382,2,54,53,,0
2021-05-22,382,2,54,53,,0
2021-05-23,384,2,54,53,,0
2021-05-24,384,2,54,53,,0
2021-05-25,384,2,54,53,,0
2021-05-26,384,2,54,53,,0
2021-05-27,386,2,54,53,,0
2021-05-28,386,2,54,53,,0
2021-05-29,387,2,54,53,,0
2021-05-30,388,2,54,53,,0
2021-05-31,388,2,54,53,,0
2021-06-01,388,2,54,53,,0
2021-06-02,388,2,54,53,,0
2021-06-03,388,2,55,53,,0
2021-06-04,388,2,55,53,,0
2021-06-05,389,2,55,53,,0
2021-06-06,392,2,55,53,,0
2021-06-07,392,2,55,53,,0
2021-06-08,392,2,55,53,,0
2021-06-09,392,2,55,53,,0
2021-06-10,392,2,55,53,,0
2021-06-11,392,2,55,54,,0
2021-06-12,392,2,55,54,,0
2021-06-13,392,2,55,54,,0
2021-06-14,392,2,55,54,,0
2021-06-15,392,2,55,54,,0
2021-06-16,393,2,55,54,,0
2021-06-17,393,2,55,54,,0
2021-06-18,395,2,56,54,,0
2021-06-19,396,2,56,54,,0
2021-06-20,397,2,57,54,,0
2021-06-21,397,2,57,54,,0
2021-06-22,397,2,57,54,,0
2021-06-23,397,2,57,54,,0
2021-06-24,397,2,57,54,,0
2021-06-25,397,2,57,55,,0
2021-06-26,399,2,57,55,,0
2021-06-27,399,2,57,55,,0
2021-06-28,399,2,57,55,,0
2021-06-29,399,2,57,55,,0
2021-06-30,400,2,57,55,,0
2021-07-01,401,2,57,55,,0
2021-07-02,401,2,57,55,,0
2021-07-03,401,2,57,55,,0
2021-07-04,401,2,57,55,,0
2021-07-05,401,2,57,55,,0
2021-07-06,401,2,57,55,,0
2021-07-07,401,2,57,55,,0
2021-07-08,402,2,57,55,,0
2021-07-09,402,2,57,55,,0
2021-07-10,404,2,57,55,,0
2021-07-11,404,2,57,55,,0
2021-07-12,404,2,57,55,,0
2021-07-13,404,2,57,55,,0
2021-07-14,404,2,57,55,,0
2021-07-15,404,2,57,56,,0
2021-07-16,405,2,57,56,,0
2021-07-17,405,2,57,56,,0
2021-07-18,405,2,57,56,,0
2021-07-19,405,2,57,56,,0
2021-07-20,405,2,57,56,,0
2021-07-21,406,2,57,56,,0
2021-07-22,408,2,58,56,,0
2021-07-23,408,2,58,56,,0
2021-07-24,408,2,58,56,,0
2021-07-25,410,2,58,56,,0
2021-07-26,410,2,58,56,,0
2021-07-27,410,2,58,56,,0
2021-07-28,410,2,60,57,,0
2021-07-29,411,2,60,58,,0
2021-07-30,413,2,61,58,,0
2021-07-31,413,2,61,58,,0
2021-08-01,413,2,61,58,,0
2021-08-02,413,2,61,58,,0
2021-08-03,413,2,61,58,1,0
2021-08-04,413,2,61,58,1,0
2021-08-05,413,2,61,58,1,0
2021-08-06,414,2,61,59,1,0
2021-08-07,416,2,61,59,1,0
2021-08-08,416,2,61,59,1,0
2021-08-09,417,2,62,59,,0
